kabupaten/kota,kecamatan,tahun,luas panen (ha),produksi (Ton),produktivitas (Ku/Ha)
Bone,Tellu limpoe,2017,3081,16878,"54,78091529"
Bone,Tellu limpoe,2018,3375,18495,"54,8"
Ngawi,Sine,2017,6053,33182,"54,81909797"
Bone,Cina ,2016,5924,32552,"54,94935854"
Bone,Cina ,2017,6852,37652,"54,95037945"
Bone,Bontocani,2017,5312,29205,"54,97929217"
Bone,Bontocani,2016,5424,29821,"54,97971976"
Bone,Cina ,2018,8594,47250,"54,98021876"
Bone,Bontocani,2018,6275,34506,"54,98964143"
Musi Banyuasin,Lalan,2024,41177,228821,"55,57009981"
Musi Banyuasin,Lalan,2025,43957,244313,"55,57999864"
Bone,Kajuara,2018,6747,37508,"55,59211501"
Bone,Kajuara,2017,6750,37726,"55,89037037"
Ngawi,Jogorogo,2017,5717,32327,"56,54539094"
Bone,Amali,2017,1297,7379,"56,89282961"
Indramayu,Sukagumiwang,2017,5060,28798,"56,91304348"
Bone,Lappariaja,2016,8639,49320,"57,08994097"
Bone,Lappariaja,2017,10960,62571,"57,09032847"
Indramayu,kroya,2017,14427,82386,"57,10542732"
Indramayu,Indramayu,2017,3314,18959,"57,2088111"
Bone,Lappariaja,2018,10768,61658,"57,26040119"
Bone,Kajuara,2016,5411,31005,"57,29994456"
Bone,Amali,2016,1047,6040,"57,68863419"
Bone,Amali,2018,1490,8596,"57,69127517"
Bone,Patimpeng,2017,5512,31959,"57,98076923"
Bone,Patimpeng,2016,5537,32104,"57,98085606"
Bone,Patimpeng,2018,7592,44026,"57,98998946"
Ngawi,Kendal,2017,6362,36927,"58,04306822"
Indramayu,Gabuswetan,2017,11989,69758,"58,18500292"
Bone,Salomekko,2023,5940,34583,"58,22053872"
Bone,Salomekko,2024,5940,34583,"58,22053872"
Indramayu,Kertasemaya,2017,5797,33758,"58,23356909"
Indramayu,Kedokanbunder,2017,4243,24717,"58,25359416"
Bone,Ajangale,2023,8801,51327,"58,31950915"
Bone,Ajangale,2024,8801,51327,"58,31950915"
Bone,Tr barat,2016,2300,13450,"58,47826087"
Bone,Tanete barat,2018,2978,17415,"58,47884486"
Bone,Tr barat,2017,2482,14515,"58,48106366"
Ngawi,Ngrambe,2017,6400,37683,"58,8796875"
Bone,Bengo,2016,10948,64538,"58,94957983"
Bone,Bengo,2017,13695,80732,"58,94998175"
Indramayu,-,2018,236054,1391928,"58,96650766"
Bone,Bengo,2018,14118,83282,"58,98994192"
Bone,Libureng,2017,18746,111051,"59,23983783"
Bone,Libureng,2016,17800,105447,"59,23988764"
Ngawi,Gerih,2017,4965,29416,"59,24672709"
Bone,Libureng,2018,19810,117400,"59,26299849"
Bone,Lamuru,2016,4083,24273,"59,44893461"
Bone,Lamuru,2017,3475,20659,"59,45035971"
Bone,Lamuru,2018,5579,33206,"59,51962717"
Ngawi,Jogorogo,2025,6072,36334,"59,83860343"
Bone,Tr timur,2016,2717,16288,"59,94847258"
Bone,Tr timur,2017,4416,26474,"59,95018116"
Bone,Tanete timur,2018,4421,26504,"59,9502375"
Bone,Amali,2022,250,1500,60
Bone,Amali,2023,413,2478,60
Bone,Amali,2024,413,2478,60
Indramayu,Juntinyuat,2017,7852,47123,"60,01400917"
Indramayu,Gantar,2017,18044,108328,"60,03546885"
Bone,Tellu limpoe,2022,2947,17714,"60,108585"
Bone,Lamuru,2023,3063,18421,"60,14038524"
Bone,Lamuru,2024,3063,18421,"60,14038524"
Ngawi,Karanganyar,2021,1476,8889,"60,22357724"
Bone,Ajangale,2025,7591,45721,"60,23053616"
Bone,Ajangale,2017,11066,66783,"60,34971986"
Bone,Ajangale,2018,13629,82251,"60,34998899"
Bone,Ajangale,2016,9196,55498,"60,35015224"
Musi Banyuasin,Lais,2025,4075,24633,"60,44907975"
Indramayu,Cantigi,2017,3372,20419,"60,55456702"
Ngawi,Karanganyar,2023,1917,11610,"60,56338028"
Indramayu,Sukra,2016,6702,40666,"60,67740973"
Indramayu,-,2020,226626,1376429,"60,73570552"
Ngawi,Karanganyar,2022,1910,11603,"60,7486911"
Ngawi,Karanganyar,2016,1972,12004,"60,87221095"
Bone,Tellu slattinge,2017,11530,70206,"60,88985256"
Bone,Tellu slattinge,2018,10808,65810,"60,89008142"
Bone,Tellu slattinge,2016,8953,54515,"60,8902044"
Ngawi,Kendal,2016,6629,40385,"60,92170765"
Ngawi,Kasreman,2016,3656,22338,"61,09956236"
Ngawi,Ngrambe,2016,6562,40124,"61,14599208"
Ngawi,Karangjati,2016,7048,43099,"61,15068104"
Ngawi,Pangkur,2016,4812,29434,"61,16791355"
Ngawi,Paron,2016,14714,90031,"61,18730461"
Ngawi,Gerih,2016,4993,30552,"61,18966553"
Ngawi,Padas,2016,7789,47661,"61,19013994"
Ngawi,Pitu,2016,1775,10862,"61,1943662"
Ngawi,Geneng,2016,10357,63382,"61,19725789"
Ngawi,Kwadungan,2016,6005,36752,"61,20233139"
Ngawi,Mantingan,2016,7046,43128,"61,20919671"
Ngawi,Widodaren,2016,13175,80645,"61,21062619"
Bone,Bontocani,2022,3380,20692,"61,21893491"
Bone,Bontocani,2023,4413,27016,"61,21912531"
Bone,Bontocani,2024,4413,27016,"61,21912531"
Ngawi,Sine,2016,5591,34235,"61,23233769"
Ngawi,Kedunggalar,2016,14125,86491,"61,23256637"
Ngawi,Ngawi,2016,8414,51522,"61,23365819"
Bone,Palakka,2016,3131,19177,"61,2488023"
Ngawi,Bringin,2016,3941,24150,"61,27886323"
Ngawi,Sine,2025,6413,39355,"61,3675347"
Ngawi,Jogorogo,2024,7729,47475,"61,42450511"
Bone,Palakka,2018,6178,37991,"61,49401101"
Ngawi,Jogorogo,2016,5232,32190,"61,52522936"
Bone,Cina ,2023,6512,40088,"61,56019656"
Bone,Cina ,2024,6512,40088,"61,56019656"
Ngawi,Jogorogo,2023,6156,37917,"61,59356725"
Ngawi,Mantingan,2017,6790,41832,"61,60824742"
Bone,Ulaweng,2016,1741,10738,"61,67719701"
Bone,Ulaweng,2017,1785,11010,"61,68067227"
Bone,Ulaweng,2018,1560,9628,"61,71794872"
Indramayu,Patrol,2017,6350,39191,"61,71811024"
Indramayu,Sindang,2017,4117,25417,"61,73670148"
