kabupaten/kota,kecamatan,tahun,luas panen (ha),produksi (Ton),produktivitas (Ku/Ha)
Indramayu,Terisi,2017,10162,69679,"68,56819524"
Bone,Libureng,2023,12943,88957,"68,72981534"
Bone,Libureng,2024,12943,88957,"68,72981534"
Bone,Awangpone,2025,9493,65378,"68,86969346"
Bone,Awangpone,2022,9372,64545,"68,87003841"
Bone,Awangpone,2023,7596,52314,"68,87045814"
Bone,Awangpone,2024,7596,52314,"68,87045814"
Indramayu,Cikedung,2017,12562,86778,"69,07976437"
Ngawi,Geneng,2020,8920,61839,"69,32623318"
Indramayu,Indramayu,2016,3301,22890,"69,34262345"
Indramayu,Lohbener,2016,5178,36207,"69,92468134"
Ngawi,Kwadungan,2025,6344,44946,"70,8480454"
Indramayu,Lelea,2017,10000,70977,"70,977"
